# group<TAB>file (relative to EM/)<TAB>description (LaTeX)
Core sequence and walk	Core/Euclid.lean	Constructive Euclid's theorem
Core sequence and walk	Core/Defs.lean	\code{seq}, \code{prod}, \code{aux}, identities
Core sequence and walk	Core/Conjectures.lean	MC, Conjecture A (FALSE), HH
Core sequence and walk	Core/ResidueWalk.lean	WalkCoverage, residue walk, concrete MC
Group theory and algebraic framework	Group/Core.lean	walkZ, multZ, confinement, SE
Group theory and algebraic framework	Group/Escape.lean	Escape lemmas, 8-element argument
Group theory and algebraic framework	Group/SEInstances.lean	29 concrete SE instances ($q \leq 157$)
Group theory and algebraic framework	Group/QR.lean	QR obstruction ($\leq 1.6\%$) (leaf)
Group theory and algebraic framework	Group/CRT.lean	CRT multiplier invariance, walk recurrence
Group theory and algebraic framework	Group/DepartureGraph.lean	Departure graph, infinite recurrence, safe prime lattice
Group theory and algebraic framework	Group/RotorRouter.lean	Scheduled walk coverage (standalone)
Group theory and algebraic framework	Group/Bridge.lean	EMPR + SE $\Rightarrow$ MC bridge
Group theory and algebraic framework	Group/CyclicWalkCoverage.lean	Weyl criterion for walks on finite groups, $\ZZ/4\ZZ$ counterexample
Equidistribution and character sums	Equidist/Preamble.lean	PE $\Rightarrow$ MC, bootstrapping
Equidistribution and character sums	Equidist/Sieve.lean	Sieve, WHP $\Leftrightarrow$ HH, forbidden multiplier, M\"obius death
Equidistribution and character sums	Equidist/SelfAvoidance.lean	Self-avoidance, periodicity
Equidistribution and character sums	Equidist/CharPRE.lean	Character non-vanishing, PRE $\Leftrightarrow$ SE
Equidistribution and character sums	Equidist/Bootstrap.lean	Inductive bootstrap, DH $\Rightarrow$ MC, first passage
Equidistribution and character sums	Equidist/Threshold.lean	Sieve gap, one-prime gap, cofinal pair avoidance
Equidistribution and character sums	Equidist/OneHorizon.lean	One-horizon Fourier criterion (cover within $O(q^2)$); multiplier constraint at the least missing prime
Equidistribution and character sums	Equidist/WeakHitting.lean	The weakest orbit target: every odd prime divides some Euclid number; the four-rung ladder
Equidistribution and character sums	Equidist/CofinalOrbit.lean	Cofinal orbit expansion, quotient walk, cofinal escape
